site_treatment,sample_type,item,NO3_N_py,NH4_N,SRP,DP,date,month,PP_ug_liter,water_particulate_N_ug_L,water_particulate_C_ug_L,TP_ug_L
TPI_TC_NA,FIELD,0.5,1.41,0.39,8.95,9.69,3/1/2021,March,1.220825853,NA,NA,10.91082585
TPI_TC_NA,FIELD,0.5,0.79,0.6,2.77,2.69,3/15/2021,March,NA,NA,NA,NA
TPI_PNLD_0.5m,FIELD,0.5,7.03,1.22,2.53,8.38,4/7/2021,April,1.445127255,14.28571429,107.1428571,9.825127255
TPI_PNLD_0.5m,FIELD,1,1.7,0.5,2.87,12.38,4/21/2021,April,1.318854,21.42857143,242.8571429,13.698854
TPI_PNLD_0.5m,REF,0.5,11.01,-0.54,3.17,8.01,6/13/2021,June,NA,NA,NA,NA
TPI_PNLD_0.5m,FIELD,1,7.5,4.57,5.43,10.12,8/8/2021,August,4.064696418,NA,NA,14.18469642
TPI_PNLD_0.5m,FIELD,0.5,4.53,5.03,3.41,13.3,10/10/2021,October,2.423093131,28.57142857,300,15.72309313
TPI_PNLD_0.5m,FIELD,1,2.06,2.31,0.23,6.42,11/28/2021,November,1.34264232,25,257.1428571,7.76264232
TPI_PNLD_0.5m,FIELD,0.5,6.74,3.95,1.14,4.66,2/27/2022,February,-1.815333699,17.85714286,146.4285714,2.844666301
