NO3_N_py,NH4_N,SRP,DP,bulk_NO3_N_py,bulk_NH4_N,bulk_SRP,bulk_DP,NO3_rate,NH4_rate,SRP_rate,DP_rate,rock_ID
386.48,290.87,542.7,548.17,534.89,571.52,823.85,822.82,12.52742681038046,23.689928807582216,23.732134274903757,23.183463199723704,17
468.1,315.96,574.77,568.54,534.89,571.52,823.85,822.82,19.139290623593272,73.23307548683184,71.37617171020534,72.86627967910317,18
430.45,285.34,530.78,526.52,534.89,571.52,823.85,822.82,13.35712908864642,36.6003753599084,37.48155708549988,37.89465098588602,19
337.13,166.24,379.83,377.52,534.89,571.52,823.85,822.82,18.117725184022532,37.12960994427919,40.67876383601177,40.79603066568182,20
442.36,347.79,611.43,616.93,534.89,571.52,823.85,822.82,12.803800598639388,30.958546503118885,29.393529916383667,28.48994385879029,21
411.37,274.7,530.78,531.61,534.89,571.52,823.85,822.82,16.347488643248628,39.28320578925727,38.78690492775969,38.54073970045688,22
415.52,337.58,596.76,595.28,534.89,571.52,823.85,822.82,14.137159164941597,27.705847491383402,26.894592232274338,26.9478863733837,23
447.45,376.79,644.41,639.86,534.89,571.52,823.85,822.82,14.760161784691741,32.871069354220296,30.290066681668424,30.884254347291876,24
472.93,379.26,647.16,641.13,534.89,571.52,823.85,822.82,10.674267841509396,33.12192923190118,30.439580130992514,31.30096391420018,25
404.56,247.05,467.55,466.66,534.89,571.52,823.85,822.82,17.100767060187735,42.57412635631946,46.75058162775179,46.73221204754443,26
394.36,278.1,494.13,494.68,534.89,571.52,823.85,822.82,16.950264748956883,35.39135190093879,39.76973808458026,39.57916369972755,27
394.36,262.79,494.13,495.95,534.89,571.52,823.85,822.82,21.036415677299935,46.2148481609109,49.35691295182051,48.93028671770463,28
408.05,231.32,480.38,476.85,534.89,571.52,823.85,822.82,19.04563193933893,51.082655201538195,51.573661322963915,51.94904826594994,29
428.37,286.61,537.2,534.16,534.89,571.52,823.85,822.82,34.65864108154328,92.70177835657621,93.2679258920802,93.9219239072314,30
419.66,383.59,639.83,636.04,534.89,571.52,823.85,822.82,16.30025290140853,26.584279508476147,26.03117711461597,26.421602333811403,31
281.96,41.61,196.81,196.69,534.89,571.52,823.85,822.82,20.253847731629445,42.43354466242739,50.21141296659521,50.13854299689696,32
5.45,0.29,24.02,30.47,45.19,45.31,67.91,76.01,11.329682564075824,12.83498512920719,12.512827572654455,12.983234624258007,49
0.38,9.17,14.42,23.61,45.19,45.31,67.91,76.01,12.832700212336757,10.34978321075319,15.318481016690319,15.00632651476113,50
0.38,0.29,17.17,25.79,45.19,45.31,67.91,76.01,7.043564625142573,7.0765739661664515,7.9756855407215825,7.893948124852937,51
0.6,0.71,5.53,14.87,45.19,45.31,67.91,76.01,5.480842388490522,5.482071552515751,7.667525189370685,7.515108850242445,52
0.6,0.29,24.48,30.78,45.19,45.31,67.91,76.01,12.028795870125,12.144794574411922,11.71586913297889,12.20144510441251,53
0.82,0.71,15.34,23.3,45.19,45.31,67.91,76.01,6.050160482766923,6.081522594802902,7.1682879553540015,7.187377936593296,54
0.6,-0.11,10.31,16.12,45.19,45.31,67.91,76.01,6.022341872829279,6.134441979455167,7.7794772790977005,8.088765525089606,55
1.48,5.57,13.51,23.92,45.19,45.31,67.91,76.01,7.9485514129063075,7.226617093317243,9.892500500162505,9.47243292377693,56
0.6,0.08,9.85,17.06,45.19,45.31,67.91,76.01,6.531134314763694,6.624875646036374,8.504096396393363,8.634455435194434,57
1.04,0.08,8.48,24.54,45.19,45.31,67.91,76.01,4.159807712013209,4.2615651826581535,5.599487481878709,4.849497235273384,58
0.82,0.71,5.53,16.12,45.19,45.31,67.91,76.01,7.9217852098084816,7.962849230503905,11.137276569480575,10.692713910647509,59
1.26,5.66,21.74,36.4,45.19,45.31,67.91,76.01,6.091733870168927,5.498230092242157,6.402352669831535,5.492683327962468,60
1.92,2.44,4.16,12.07,45.19,45.31,67.91,76.01,4.986843660247393,4.940743880628745,7.34715237672224,7.3690497720411,61
1.04,1.79,2.55,11.13,45.19,45.31,67.91,76.01,5.892697394605042,5.808611338917587,8.72359460274939,8.65952903651133,62
1.04,1.79,15.8,27.04,45.19,45.31,67.91,76.01,4.114022282314278,4.055317094593826,4.855757670020317,4.563163559794569,63
0.38,0.29,19,29.85,45.19,45.31,67.91,76.01,6.519045669284129,6.549596876393027,7.115521617600686,6.715446286412752,64
368.96,195.22,113.31,120.12,374.8,395.58,315.47,328.53,7.0123408998761425,240.5809285443795,242.74226649297145,250.24691214780455,65
364.99,203.72,144.22,153.99,374.8,395.58,315.47,328.53,9.048547591292177,176.96782271817702,157.95757135665494,160.99220148666012,66
229.14,37.59,58.81,69.95,374.8,395.58,315.47,328.53,26.326997834808672,64.70411887191511,46.389449844034004,46.73647604095033,67
349.1,106.42,64.99,74.97,374.8,395.58,315.47,328.53,8.404974933180993,94.56741446220299,81.91743662502631,82.92472544970323,68
281.57,134.46,135.98,148.97,374.8,395.58,315.47,328.53,22.841486099053398,63.97478118829586,43.97531202315879,43.99246212534621,69
361.81,211.8,168.96,182.21,374.8,395.58,315.47,328.53,10.499484720207395,148.54467296995483,118.4202853239095,118.266713184045,70
375.29,173.07,137.58,145.21,374.8,395.58,315.47,328.53,-0.3734267941646103,169.57386932564467,135.56916819171693,139.70734674745933,71
346.71,169.31,81.25,91.27,374.8,395.58,315.47,328.53,11.407396613224366,91.88863053308202,95.11713900852291,96.35168816139587,72
363.4,201.17,176.28,186.6,374.8,395.58,315.47,328.53,9.418714476889786,160.6221299519419,114.99919895072681,117.26299523727747,73
312.55,127.24,125.22,137.68,374.8,395.58,315.47,328.53,38.41392261844877,165.5902328583862,117.40158679774906,117.7718414735895,74
368.16,204.57,147.2,159.63,374.8,395.58,315.47,328.53,5.004731645900969,143.9689445306545,126.82924609273462,127.30409261937879,75
367.37,176.53,100.03,111.97,374.8,395.58,315.47,328.53,5.471549897550757,161.31130619898948,158.65285463369236,159.4776373907928,76
368.16,185.03,104.38,115.73,374.8,395.58,315.47,328.53,3.1586331910319227,100.15816541743564,100.41504221309185,101.22848539933649,77
349.1,176.1,97.51,108.84,374.8,395.58,315.47,328.53,10.377780711804755,88.62705488820656,88.01327174883134,88.7118538745676,78
360.22,210.95,149.49,157.13,374.8,395.58,315.47,328.53,8.60029544539495,108.90758217306387,97.90651838317252,101.10361038002029,79
357.84,235.59,194.47,204.16,374.8,395.58,315.47,328.53,13.973946752859275,131.82144699233197,99.69620030046987,102.47286306916887,80
